Step	Empty	Tree	Fire
000	8652	0000	0000
001	7868	0414	0000
002	6418	1864	0000
003	3972	4310	0000
004	1794	6488	0000
005	0539	7743	0000
006	0123	8159	0000
007	0023	8259	0000
008	0005	8277	0000
009	0000	8282	0000
010	0000	8282	0000
011	0000	8282	0000
012	0000	8282	0000
013	0000	8282	0000
014	0000	8282	0000
015	0000	8282	0000
016	0000	8282	0000
017	0000	8282	0000
018	0000	8281	0001
019	0001	8277	0004
020	0005	8269	0008
021	0013	8257	0012
022	0025	8241	0016
023	0041	8221	0020
024	0058	8200	0024
025	0074	8180	0028
026	0089	8161	0032
027	0096	8150	0036
028	0098	8144	0040
029	0096	8142	0044
030	0095	8139	0048
031	0096	8134	0052
032	0097	8129	0056
033	0102	8120	0060
034	0101	8117	0064
035	0104	8110	0068
036	0106	8105	0071
037	0109	8100	0073
038	0113	8094	0075
039	0110	8095	0077
040	0118	8085	0079
041	0121	8080	0081
042	0131	8069	0082
043	0128	8072	0082
044	0128	8072	0082
045	0129	8071	0082
046	0133	8067	0082
047	0134	8066	0082
048	0134	8066	0082
049	0134	8066	0082
050	0128	8072	0082
051	0123	8077	0082
052	0110	8090	0082
053	0117	8083	0082
054	0121	8079	0082
055	0112	8088	0082
056	0115	8085	0082
057	0118	8082	0082
058	0113	8087	0082
059	0114	8085	0083
060	0114	8081	0087
061	0128	8062	0092
062	0135	8049	0098
063	0148	8029	0105
064	0165	8005	0112
065	0191	7972	0119
066	0200	7961	0121
067	0207	7954	0121
068	0207	7951	0124
069	0211	7944	0127
070	0221	7931	0130
071	0223	7926	0133
072	0215	7931	0136
073	0223	7920	0139
074	0229	7911	0142
075	0232	7905	0145
076	0235	7900	0147
077	0245	7889	0148
078	0241	7888	0153
079	0235	7886	0161
080	0250	7863	0169
081	0253	7852	0177
082	0288	7810	0184
083	0300	7790	0192
084	0315	7764	0203
085	0336	7732	0214
086	0364	7693	0225
087	0380	7665	0237
088	0416	7617	0249
089	0435	7587	0260
090	0463	7549	0270
091	0472	7530	0280
092	0486	7506	0290
093	0498	7484	0300
094	0515	7457	0310
095	0515	7446	0321
096	0526	7463	0293
097	0512	7473	0297
098	0500	7482	0300
099	0503	7476	0303
100	0507	7469	0306
101	0489	7562	0231
102	0396	7678	0208
103	0339	7737	0206
104	0331	7765	0186
105	0306	7795	0181
106	0288	7824	0170
107	0270	7852	0160
108	0245	7881	0156
109	0231	7897	0154
110	0227	7902	0153
111	0242	7893	0147
112	0241	7901	0140
113	0236	7908	0138
114	0218	7928	0136
115	0211	7935	0136
116	0212	7934	0136
117	0202	7944	0136
118	0201	7953	0128
119	0191	7963	0128
120	0182	7972	0128
121	0183	7971	0128
122	0181	7972	0129
123	0191	7958	0133
124	0186	7955	0141
125	0206	7926	0150
126	0223	7900	0159
127	0253	7861	0168
128	0273	7834	0175
129	0288	7814	0180
130	0289	7808	0185
131	0289	7804	0189
132	0297	7792	0193
133	0295	7789	0198
134	0298	7781	0203
135	0296	7779	0207
136	0307	7763	0212
137	0322	7768	0192
138	0302	7787	0193
139	0292	7795	0195
140	0295	7790	0197
141	0299	7782	0201
142	0295	7784	0203
143	0298	7781	0203
144	0279	7801	0202
145	0288	7794	0200
146	0296	7788	0198
147	0292	7794	0196
148	0284	7803	0195
149	0292	7796	0194
150	0301	7788	0193
151	0298	7792	0192
152	0291	7800	0191
153	0299	7794	0189
154	0294	7803	0185
155	0284	7818	0180
156	0277	7830	0175
157	0266	7842	0174
158	0257	7849	0176
159	0253	7852	0177
160	0244	7860	0178
161	0254	7858	0170
162	0247	7865	0170
163	0256	7857	0169
164	0246	7867	0169
165	0265	7848	0169
166	0271	7842	0169
167	0263	7850	0169
168	0269	7844	0169
169	0274	7840	0168
170	0272	7844	0166
171	0266	7852	0164
172	0269	7850	0163
173	0256	7864	0162
174	0251	7868	0163
175	0244	7875	0163
176	0259	7861	0162
177	0246	7875	0161
178	0239	7882	0161
179	0253	7867	0162
180	0248	7871	0163
181	0240	7878	0164
182	0236	7881	0165
183	0238	7877	0167
184	0239	7872	0171
185	0247	7860	0175
186	0252	7852	0178
187	0271	7831	0180
188	0272	7829	0181
189	0284	7815	0183
190	0278	7817	0187
191	0288	7802	0192
192	0302	7783	0197
193	0298	7782	0202
194	0310	7766	0206
195	0336	7736	0210
196	0347	7721	0214
197	0351	7713	0218
198	0351	7709	0222
199	0338	7718	0226
200	0358	7694	0230
201	0356	7691	0235
202	0347	7695	0240
